           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.17.0, build: 4ab6d2ee
Access web UI at http://localhost:6333/dashboard

2026-08-03T12:45:54.396902Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6278 "-" "python-client/1.16.1 python/3.9.1" 0.003208
2026-08-03T12:46:49.028911Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6069 "-" "python-client/1.16.1 python/3.9.1" 0.002485
2026-08-03T12:47:33.150772Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6326 "-" "python-client/1.16.1 python/3.9.1" 0.002502
2026-08-03T13:00:29.395724Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6278 "-" "python-client/1.16.1 python/3.9.1" 0.002207
2026-08-03T13:01:25.889454Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6068 "-" "python-client/1.16.1 python/3.9.1" 0.002203
2026-08-03T13:02:17.953709Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6326 "-" "python-client/1.16.1 python/3.9.1" 0.002192
2026-08-03T13:03:01.998892Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 5889 "-" "python-client/1.16.1 python/3.9.1" 0.002282
2026-08-03T13:03:49.637149Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6118 "-" "python-client/1.16.1 python/3.9.1" 0.002613
2026-08-03T13:05:04.534901Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6592 "-" "python-client/1.16.1 python/3.9.1" 0.002302
2026-08-03T13:05:20.701089Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6283 "-" "python-client/1.16.1 python/3.9.1" 0.002016
